@RELATION emotionModelData1KNN
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {angry,neutral}

@DATA
0.252442,0.007227,2.752265,0.333982,0.233951,1.702392,0.017267,0.415558,-29.903098,1.241939,-0.561751,-0.619963,-0.089948,0.048775,-0.116145,-0.112025,-0.109313,0.044815,0.047648,0.006827,-0.116167,0.009987,0.004531,0.011695,0.009846,0.014351,0.013108,0.013483,0.009170,0.012414,0.019075,0.020195,0.008956,0.015583,0.111405,0.011307,0.568103,0.090963,0.039963,0.679314,0.011480,0.220864,4.432365,1.115488,1.007146,0.667524,0.423800,0.343301,0.339624,0.300396,0.279967,0.240708,0.245827,0.218415,0.244360,0.012652,0.005350,0.013696,0.010766,0.019113,0.018391,0.014790,0.016889,0.014989,0.022110,0.023305,0.011172,0.010602,angry
0.171970,0.019426,3.003682,0.260790,0.198607,1.263257,0.025693,0.278627,-27.068064,1.839934,-0.873663,-0.300299,-0.354084,0.018832,-0.013174,-0.166045,-0.291491,-0.343208,-0.302349,-0.137659,-0.103477,0.012259,0.006350,0.030857,0.033517,0.025277,0.015926,0.014818,0.006109,0.008058,0.009881,0.009003,0.003884,0.025464,0.073376,0.022893,0.389697,0.061575,0.036016,0.478817,0.016632,0.137665,3.199155,1.035107,1.005287,0.656063,0.456838,0.384614,0.299578,0.333690,0.354422,0.288473,0.379313,0.398139,0.332649,0.019875,0.009619,0.034057,0.044415,0.031977,0.022433,0.022465,0.012854,0.011667,0.014386,0.012306,0.005282,0.015629,angry
0.146178,0.028959,3.094980,0.250167,0.198016,1.309692,0.039763,0.267125,-26.940861,1.901824,-0.843174,-0.226760,-0.398150,0.030133,-0.150891,-0.139461,-0.336613,-0.428828,-0.610353,-0.215293,-0.018858,0.008416,0.007543,0.031638,0.040178,0.057583,0.013423,0.006594,0.002851,0.008185,0.009360,0.004875,0.002654,0.028057,0.056828,0.036525,0.235969,0.057539,0.032903,0.529711,0.027735,0.139361,3.085808,1.023915,0.986208,0.571725,0.311415,0.312247,0.218544,0.264457,0.434118,0.288518,0.291793,0.294362,0.391366,0.008312,0.009298,0.027380,0.059211,0.073513,0.012931,0.008144,0.004628,0.011232,0.010502,0.005425,0.002819,0.019429,angry
0.210887,0.024095,2.865804,0.274541,0.188907,1.314224,0.031390,0.298684,-27.139314,1.691479,-0.651346,0.217507,-0.406134,0.036112,-0.359942,-0.093124,-0.170197,-0.215593,-0.083920,-0.085662,-0.007158,0.020772,0.008019,0.020605,0.015225,0.021079,0.020423,0.018370,0.003965,0.010529,0.012377,0.013966,0.010552,0.024396,0.103813,0.027589,0.481351,0.080574,0.035419,0.620368,0.024882,0.162055,3.107389,1.202623,1.046730,0.593807,0.489679,0.449629,0.400283,0.373397,0.341336,0.313568,0.344694,0.361904,0.376309,0.031221,0.011856,0.030177,0.024714,0.035740,0.032152,0.028259,0.007278,0.016803,0.017800,0.019648,0.017793,0.016131,angry
0.206396,0.021855,2.823657,0.271616,0.191857,1.418978,0.026536,0.300486,-27.370867,1.731826,-0.780392,0.174408,-0.261563,0.078490,-0.382080,-0.062603,-0.220742,-0.286019,-0.110822,-0.078973,-0.006276,0.022598,0.010031,0.028022,0.020785,0.018115,0.016236,0.021156,0.006576,0.011112,0.007904,0.011732,0.007696,0.023509,0.098629,0.026527,0.574438,0.079979,0.037681,0.587230,0.019420,0.158087,3.295580,1.198531,1.088342,0.644341,0.507434,0.440986,0.411493,0.340278,0.306879,0.279471,0.373907,0.374222,0.399456,0.029961,0.014645,0.034392,0.032130,0.023977,0.027174,0.029806,0.012820,0.016894,0.009504,0.015481,0.014155,0.014215,angry
0.237612,0.019209,2.794382,0.304729,0.203399,1.596459,0.022901,0.371750,-27.476235,1.516009,-0.516528,0.118408,-0.395893,0.128247,-0.264176,-0.056674,-0.148054,-0.133691,-0.222987,-0.013586,-0.004380,0.014400,0.005672,0.027094,0.023287,0.020901,0.013365,0.013927,0.003762,0.007836,0.012484,0.013709,0.009797,0.019933,0.117633,0.024306,0.527756,0.084391,0.037684,0.568821,0.015957,0.178263,3.006441,1.179722,1.189705,0.649946,0.452031,0.437762,0.362236,0.382653,0.306979,0.273184,0.297263,0.332092,0.311490,0.022714,0.008264,0.031823,0.029809,0.029685,0.018359,0.018797,0.006440,0.014468,0.015150,0.020579,0.017094,0.012117,angry
0.235714,0.016697,2.974072,0.318618,0.217255,1.753939,0.024936,0.403833,-30.067105,1.224351,-0.719223,0.212194,-0.084687,-0.148546,-0.259241,-0.106991,-0.128757,-0.022073,-0.045540,0.141592,0.060221,0.009061,0.009575,0.029238,0.020133,0.015651,0.015783,0.022401,0.005168,0.008945,0.011127,0.011593,0.005940,0.022028,0.087472,0.023434,0.475932,0.078270,0.040719,0.756250,0.024883,0.200042,3.847402,0.976228,0.848768,0.703625,0.416156,0.425281,0.299034,0.320478,0.267770,0.323526,0.340604,0.402625,0.251335,0.009618,0.015145,0.030200,0.044334,0.031450,0.020492,0.032126,0.006592,0.012996,0.016061,0.014892,0.008634,0.014865,angry
0.259023,0.016863,2.990653,0.309817,0.204561,1.710863,0.020389,0.390417,-30.934921,1.273331,-1.025298,0.385376,-0.066393,-0.329306,-0.184483,-0.303634,-0.165952,0.018641,0.146499,0.246802,-0.002218,0.013172,0.006277,0.012001,0.008464,0.009729,0.026227,0.030679,0.008269,0.012070,0.010951,0.009193,0.006981,0.019078,0.099905,0.020418,0.485435,0.085685,0.048727,0.721352,0.013513,0.191799,3.949130,1.029043,1.228060,0.430231,0.429956,0.410679,0.362296,0.331816,0.312734,0.285575,0.311410,0.297507,0.286703,0.020344,0.010448,0.014087,0.011669,0.010771,0.037138,0.036766,0.014251,0.013310,0.016515,0.011742,0.012185,0.012354,angry
0.197666,0.024859,2.877547,0.253674,0.177805,1.329031,0.036096,0.286281,-27.733356,2.051676,-1.209075,0.197910,-0.141008,-0.255658,-0.323510,-0.290546,-0.301120,-0.157407,-0.047603,0.096592,0.112041,0.015103,0.010261,0.017533,0.013871,0.023323,0.024861,0.023725,0.005266,0.014625,0.014759,0.011122,0.006474,0.024487,0.097321,0.030664,0.547745,0.078123,0.045414,0.631731,0.024682,0.151842,3.603076,1.227867,1.299807,0.579579,0.534922,0.412841,0.359621,0.378636,0.328793,0.324591,0.405403,0.431338,0.346219,0.022552,0.021521,0.026003,0.024441,0.037162,0.032508,0.028245,0.009992,0.023697,0.025991,0.015947,0.011501,0.015959,angry
0.198297,0.013340,2.926814,0.269672,0.203046,1.508214,0.019462,0.317199,-27.419177,1.980375,-0.481588,0.049108,-0.298881,0.083537,-0.188251,0.037749,-0.067757,0.019794,-0.080294,-0.078305,-0.192962,0.028306,0.006404,0.027010,0.017071,0.014282,0.009401,0.014056,0.004865,0.006975,0.018210,0.029507,0.011843,0.022197,0.104436,0.013594,0.406389,0.075445,0.037008,0.548722,0.013346,0.161064,2.636243,1.090889,1.018177,0.546627,0.455949,0.444627,0.328344,0.296424,0.273706,0.252695,0.254433,0.226593,0.234688,0.032074,0.008977,0.026913,0.019090,0.014843,0.010683,0.015775,0.007393,0.008467,0.017343,0.025382,0.013435,0.012263,angry
