@RELATION emotionModelData1NNO
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {angry,neutral}

@DATA
0.171376,0.016787,2.637180,0.283071,0.216060,1.427969,0.010175,0.311386,-27.438715,0.648812,-0.102341,-0.021476,-0.346510,-0.026082,0.103259,-0.068808,-0.087294,-0.110899,-0.164647,0.000734,-0.095823,0.010616,0.005932,0.029633,0.012559,0.009444,0.013543,0.035919,0.005815,0.004974,0.011028,0.014858,0.004176,0.021120,0.111472,0.024428,0.609800,0.095439,0.038652,0.618395,0.006074,0.216396,5.027843,1.089406,1.062309,0.652657,0.467053,0.453072,0.336127,0.417652,0.449769,0.399882,0.266624,0.430793,0.230186,0.012976,0.009198,0.046354,0.019868,0.010337,0.024967,0.068390,0.011919,0.005766,0.016707,0.018453,0.004724,0.019309,angry
0.131185,0.007668,2.877106,0.258081,0.236732,1.017622,0.016073,0.253500,-31.150377,1.582419,0.529733,0.216481,-0.138139,-0.215002,0.018005,0.084913,-0.137572,0.127574,-0.093791,0.082236,-0.135900,0.012593,0.002822,0.032856,0.008362,0.011152,0.006192,0.111997,0.002926,0.004221,0.019975,0.025286,0.007361,0.039654,0.102258,0.009517,0.383905,0.088479,0.033738,0.481012,0.015294,0.161697,3.009008,0.846444,0.878926,0.665362,0.401081,0.318965,0.261597,0.254628,0.248521,0.347262,0.189050,0.263731,0.262297,0.016887,0.003600,0.021233,0.015836,0.011904,0.008844,0.056910,0.004642,0.004159,0.029995,0.019987,0.014759,0.016292,angry
0.154457,0.008212,2.662507,0.264170,0.212876,1.358207,0.013506,0.286896,-28.529023,1.001055,0.225134,-0.017792,-0.544923,-0.169876,-0.066749,-0.072388,-0.534224,0.066651,-0.215623,0.041046,0.020854,0.007131,0.004027,0.024249,0.012694,0.018402,0.016260,0.049633,0.006550,0.007442,0.010703,0.019735,0.003725,0.025298,0.109998,0.011774,0.597894,0.090969,0.040423,0.547496,0.008776,0.176064,4.788478,0.841370,0.718114,1.025839,0.484599,0.365353,0.399271,0.294088,0.417919,0.312739,0.446644,0.388198,0.345887,0.008635,0.006108,0.028813,0.014047,0.024036,0.021198,0.104988,0.008754,0.009378,0.011485,0.023941,0.006059,0.025601,angry
0.182290,0.017541,2.649521,0.290276,0.211169,1.379225,0.016442,0.336125,-27.804738,0.931774,-0.358402,0.050928,-0.262653,-0.185156,-0.038552,-0.093797,-0.442485,-0.202756,-0.318121,0.056576,-0.041227,0.008373,0.003367,0.014564,0.023880,0.021305,0.025982,0.018037,0.005785,0.005684,0.007025,0.009479,0.002818,0.018956,0.125801,0.024045,0.618703,0.136243,0.037982,0.747141,0.015615,0.255453,4.025969,1.306315,1.160558,0.636476,0.500704,0.407874,0.430821,0.428623,0.446289,0.408431,0.363342,0.378553,0.399616,0.010358,0.006567,0.016951,0.042859,0.029517,0.045194,0.025701,0.011570,0.008970,0.009021,0.012500,0.003014,0.016702,angry
0.189025,0.008907,2.558150,0.297674,0.220774,1.396793,0.014639,0.344969,-28.297991,0.933791,0.217163,-0.217876,-0.295332,-0.068358,0.166152,0.019773,-0.000979,0.035555,-0.143040,-0.021134,-0.182124,0.021774,0.008128,0.020650,0.009078,0.008996,0.005631,0.024382,0.002928,0.007003,0.020376,0.023954,0.008339,0.019534,0.159039,0.014466,0.604822,0.127048,0.028788,0.780033,0.012435,0.248069,3.622323,1.334931,0.968639,0.645788,0.591192,0.332200,0.433121,0.285928,0.302554,0.299520,0.295494,0.285275,0.312671,0.026338,0.014731,0.028169,0.013158,0.013013,0.008073,0.038937,0.004144,0.011189,0.027608,0.025845,0.011117,0.016065,angry
0.180074,0.014905,2.555895,0.274383,0.213025,1.355670,0.014969,0.311577,-27.740220,0.959989,-0.269400,-0.180183,-0.376569,-0.065924,-0.001173,-0.216833,-0.371969,-0.218849,-0.273741,0.067922,-0.091710,0.012398,0.004713,0.019970,0.020381,0.022269,0.020196,0.023099,0.006077,0.009043,0.007919,0.012245,0.003083,0.020450,0.141893,0.023606,0.652089,0.120630,0.038251,0.731327,0.010400,0.232179,4.198959,1.369339,1.090819,0.593958,0.557228,0.371195,0.443313,0.387691,0.448918,0.370291,0.438195,0.414451,0.410609,0.017608,0.009063,0.028084,0.028753,0.030780,0.026724,0.034646,0.012509,0.015512,0.012987,0.018333,0.003084,0.014215,angry
0.148728,0.009590,2.829616,0.244760,0.207970,1.087682,0.013388,0.257583,-29.191642,1.721814,0.158819,-0.174011,-0.401843,-0.243148,-0.244002,0.303356,-0.189046,-0.016690,-0.181592,0.051951,-0.254507,0.011786,0.005865,0.027845,0.015336,0.020842,0.020645,0.015623,0.003152,0.005543,0.015108,0.042083,0.008760,0.024431,0.117841,0.013991,0.315625,0.091568,0.026803,0.450020,0.006361,0.173837,2.113692,0.763647,0.643744,0.380514,0.309157,0.278331,0.356160,0.238174,0.311460,0.260470,0.314954,0.230506,0.285349,0.015766,0.005127,0.011243,0.022534,0.029825,0.027156,0.023141,0.007130,0.005816,0.011093,0.011513,0.006991,0.011801,angry
0.137832,0.007742,2.750467,0.229452,0.197336,0.989320,0.018751,0.240931,-28.667324,1.830758,0.498280,0.085928,-0.460489,-0.095124,-0.143788,0.129621,-0.262185,0.159385,-0.228219,0.082140,-0.270735,0.022444,0.006359,0.029587,0.015569,0.019501,0.013396,0.024626,0.002935,0.010327,0.013937,0.032271,0.010399,0.023660,0.120762,0.009184,0.423559,0.093977,0.030519,0.590134,0.011217,0.181247,3.414440,1.022194,0.676150,0.384827,0.396607,0.300893,0.438429,0.368711,0.359104,0.306736,0.318950,0.325321,0.318272,0.025312,0.011589,0.028033,0.022038,0.022956,0.024231,0.026749,0.007507,0.015594,0.018875,0.032348,0.020223,0.012356,angry
0.171388,0.009463,2.784773,0.286921,0.222103,1.203500,0.017639,0.327014,-27.870911,1.440947,0.518894,-0.200651,-0.270320,-0.093177,-0.101098,0.034844,-0.175178,0.033293,-0.127734,0.100566,-0.230746,0.016194,0.003345,0.021811,0.014612,0.016764,0.010179,0.043165,0.003251,0.005606,0.013903,0.032654,0.009180,0.026401,0.167236,0.011205,0.535992,0.143622,0.042700,0.822901,0.013916,0.263843,3.402047,1.344673,0.807999,0.599345,0.443863,0.349003,0.380074,0.458125,0.314581,0.347626,0.306134,0.292906,0.323082,0.024975,0.005111,0.028649,0.025629,0.033519,0.014304,0.065658,0.007648,0.011006,0.020007,0.032020,0.018274,0.019070,angry
0.137797,0.012822,2.658819,0.243301,0.202928,1.124434,0.014693,0.243729,-27.811183,1.426300,-0.521343,0.045719,0.010402,-0.081900,0.164055,-0.124949,-0.138909,0.280005,-0.171122,0.018573,-0.155500,0.014984,0.004956,0.011819,0.005513,0.009970,0.007320,0.043984,0.008866,0.015485,0.016093,0.019011,0.006988,0.021979,0.098375,0.017894,0.536412,0.099987,0.040312,0.579382,0.008567,0.174166,4.479346,1.029708,0.848944,0.526720,0.447062,0.324983,0.333867,0.371794,0.269861,0.275682,0.248498,0.300504,0.187837,0.021839,0.007993,0.013787,0.006151,0.015739,0.009459,0.062569,0.010586,0.018328,0.017529,0.020267,0.010653,0.018597,angry
